ip,rdns,country,city,lat,lon,asn,isp
186.209.62.16,186-209-62-16.netturbo.com.br,Brazil,Atibaia,-23.1156,-46.5461,AS53158 Net Turbo Telecom,Net Turbo Telecom
176.98.8.140,176.98.8.140.crystal.in.ua,Ukraine,Kyiv,50.458,30.5303,AS49889 Crystal Telecom Ltd,Crystal Telecom Ltd
176.229.107.151,176-229-107-151.orange.net.il,Israel,Zeitan,31.9728,34.8862,AS12400 Partner Communications Ltd.,Partner Communications Ltd.
190.112.185.106,N/A,Argentina,Buenos Aires,-34.6142,-58.3811,AS52363 Jumpnet Soluciones de Internet S.R.L.,Jumpnet Soluciones de Internet S.R.L.
186.28.98.62,dynamic-186-28-98-62.dynamic.etb.net.co,Colombia,Bogotá,4.6351,-74.0704,AS19429 Colombia,Colombia
38.166.64.162,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS61461 Airtek Solutions C.A.,Airtek Solutions C.A.
159.0.15.71,N/A,Saudi Arabia,Medina,24.4668,39.6167,AS25019 Saudi Telecom Company JSC,Saudi Telecom Company JSC
201.121.134.114,acceso-201-121-134-114.prod-infinitum.com.mx,Mexico,Cuautitlán Izcalli,19.6537,-99.2193,AS8151 UNINET,UNINET
189.164.145.35,dsl-35-145-164-189-dynamic.prod-infinitum.com.mx,Mexico,Puebla City,18.9831,-98.1501,AS8151 UNINET,UNINET
62.122.69.66,nat69-66.bcm.net.ua,Ukraine,Bila Tserkva,49.8029,30.1236,AS42504 SPD Bilopol Roman Leonidovich,SPD Bilopol Roman Leonidovich
201.123.70.149,acceso-201-123-70-149.prod-infinitum.com.mx,Mexico,Veracruz,19.1603,-96.1464,AS8151 UNINET,UNINET
45.169.98.90,45-169-98-90.netcomunicaciones.com,Colombia,Villa Garzón,1.0375,-76.6267,AS267790 NET ISP S.A.S,NET ISP S.A.S
31.40.147.162,nat-02-2.m3x.org,Russia,Unknown,55.7386,37.6068,AS39529 Osipenko Alexander Nikolaevich,Osipenko Alexander Nikolaevich
45.228.188.224,45-228-188-224.obercom.net.ar,Argentina,Oberá,-27.4834,-55.1414,AS266668 OBERCOM S.R.L.,OBERCOM S.R.L.
187.187.206.234,customer-mred-234.static.metrored.net.mx,Mexico,Pachuca,20.1052,-98.7562,"AS28534 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
177.18.177.214,177.18.177.214.static.host.gvt.net.br,Brazil,Dourados,-22.1437,-54.8047,AS18881 TELEFONICA BRASIL S.A,TELEFONICA BRASIL S.A
189.27.176.109,189.27.176.109.dynamic.adsl.gvt.net.br,Brazil,Joinville,-26.3033,-48.8413,AS18881 TELEFONICA BRASIL S.A,TELEFONICA BRASIL S.A
177.203.221.15,177-203-221-15.user3p.v-tal.net.br,Brazil,Rondonópolis,-16.436,-54.6298,AS8167 V tal,V tal
5.251.186.138,5.251.186.138.dynamic.telecom.kz,Kazakhstan,Atyrau,47.1169,51.8853,AS9198 JSC Kazakhtelecom,JSC Kazakhtelecom
154.71.132.168,cust168-132.71.154.tvcabo.ao,Angola,Luanda,-8.8371,13.2333,AS36907 TVCaboAngola,TVCaboAngola
148.246.51.9,customer-cc-9.static.metrored.net.mx,Mexico,La Barca,20.3588,-102.5561,"AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
216.243.112.162,N/A,Indonesia,Unknown,-6.175,106.8286,Unknown,Unknown
66.9.176.109,customer.tmpeazx1.isp.starlink.com,Mexico,Mexico City,19.4324,-99.1229,AS14593 SPACEX-STARLINK,SPACEX-STARLINK
179.51.111.187,N/A,Colombia,Ciudad Bolívar,4.582,-74.1495,AS263210 HV TELEVISION S.A.S,HV TELEVISION S.A.S
173.238.22.183,d173-238-22-183.home4.cgocable.net,Canada,Windsor,42.265,-83.0283,AS7992 COGECOWAVE,COGECOWAVE
37.57.12.205,205.12.57.37.triolan.net,Ukraine,Kharkiv,49.982,36.2566,AS13188 Content Delivery Network Ltd,Content Delivery Network Ltd
176.105.200.62,N/A,Ukraine,Vinnytsia,49.2335,28.4817,AS24812 RPC HomeNet Ltd.,RPC HomeNet Ltd.
109.227.106.181,109-227-106-181.dynamic-pool.mclaut.cc,Ukraine,Cherkasy,49.4345,32.0541,AS25133 LLC McLaut-Invest,LLC McLaut-Invest
45.172.19.76,N/A,Argentina,Monte Grande,-34.815,-58.4693,AS264619 Wireless Provider,Wireless Provider
14.192.237.103,N/A,Malaysia,Petaling Jaya,3.1201,101.5981,AS9534 Binariang Berhad,Binariang Berhad
189.51.168.163,cpf.189-51-168-163.dyrnet.net,Mexico,Hunucmá,21.017,-89.8748,AS270111 Comunicacion por Fibra SA de CV,Comunicacion por Fibra SA de CV
187.65.17.73,bb411149.virtua.com.br,Brazil,Maceió,-9.6658,-35.7353,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
49.43.143.91,N/A,India,Karnāl,29.6923,76.986,AS55836 Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited
187.20.14.139,bb140e8b.virtua.com.br,Brazil,Belo Horizonte,-19.9029,-43.9572,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
38.123.220.224,N/A,Mexico,Ixtlahuaca de Rayón,19.6271,-99.7987,AS174 COGENT-174,COGENT-174
190.102.52.168,N/A,Brazil,Arapiraca,-9.7438,-36.5931,AS271231 J. S. dos Santos Junior Comunicacoes ME,J. S. dos Santos Junior Comunicacoes ME
177.53.247.24,24.247.53.177.in-addr.arpa.verointernet.com.br,Brazil,São José,-27.6157,-48.6235,AS262481 VERO S.A,VERO S.A
201.224.95.156,dsl-201.224.95-pool-156.cwpanama.net,Panama,Panama City,8.9948,-79.523,AS11556 Cable & Wireless Panama,Cable & Wireless Panama
190.155.208.148,148.190-155-208.uio.satnet.net,Ecuador,Ambato,-1.2484,-78.6133,AS14522 SERVICIOS DE TELECOMUNICACIONES SETEL S.A. XTRIM EC,SERVICIOS DE TELECOMUNICACIONES SETEL S.A. XTRIM EC
38.51.207.174,174.207.51.38.in-addr.arpa,Venezuela,Maracaibo,10.6423,-71.6109,AS269730 TECNOVEN SERVICES CA,TECNOVEN SERVICES CA
209.87.175.187,N/A,Mexico,Cortazar,20.4665,-101.0347,AS270187 2M INGENIERIA Y SERVICIOS EN TELECOMUNICACIONES S.A. DE C.V.,2M INGENIERIA Y SERVICIOS EN TELECOMUNICACIONES S.A. DE C.V.
38.171.240.57,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS61461 Airtek Solutions C.A.,Airtek Solutions C.A.
138.99.8.12,N/A,Brazil,Cachoeiras de Macacu,-22.4861,-42.7133,AS264148 Correa Sat Telecomunicacoes Ltda ME,Correa Sat Telecomunicacoes Ltda ME
31.134.107.227,ip-31-134-107-227.dss-group.net,Ukraine,Chernivtsi,48.2932,25.9448,AS48323 PP Neiron Systems,PP Neiron Systems
189.216.112.59,customer-189-216-112-59.cablevision.net.mx,Mexico,Unknown,19.4371,-99.0111,Unknown,Unknown
38.22.181.221,N/A,Mexico,Zapotlanejo,20.5596,-103.0633,AS174 COGENT-174,COGENT-174
82.140.213.43,N/A,Russia,Tver,56.8649,35.8942,AS12389 Rostelecom,Rostelecom
191.96.216.62,N/A,Panama,Panama City,8.9948,-79.523,AS265867 Trans Ocean Network,Trans Ocean Network
190.155.83.210,210.cpe-190-155-83.gye.satnet.net,Ecuador,Guayaquil,-2.2038,-79.8819,AS14522 SERVICIOS DE TELECOMUNICACIONES SETEL S.A. XTRIM EC,SERVICIOS DE TELECOMUNICACIONES SETEL S.A. XTRIM EC
213.109.238.172,N/A,Ukraine,Ivano-Frankivsk,48.9171,24.7158,AS47702 Teleradiocompany Discovery Ltd.,Teleradiocompany Discovery Ltd.
165.73.170.47,N/A,South Africa,Unknown,-29.0,24.0,Unknown,Unknown
170.81.48.249,170.81.48.249.tacnettelecom.com.br,Brazil,Sangão,-28.6678,-49.1255,AS263634 TACNET TELECOM,TACNET TELECOM
5.164.142.48,5x164x142x48.dynamic.samara.ertelecom.ru,Russia,Samara,53.2061,50.1509,AS34533 JSC ER-Telecom Holding,JSC ER-Telecom Holding
179.157.8.10,b39d080a.virtua.com.br,Brazil,Bento Gonçalves,-29.0979,-51.5474,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
189.60.15.202,bd3c0fca.virtua.com.br,Brazil,Rio de Janeiro,-22.9072,-43.1883,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
91.241.112.120,host-91-241-112-120.la.net.ua,Ukraine,Kalush,49.0099,24.3716,AS51180 Lanet Network Ltd,Lanet Network Ltd
38.166.130.17,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS174 COGENT-174,COGENT-174
194.226.181.19,N/A,Russia,Unknown,55.7386,37.6068,Unknown,Unknown
190.24.74.175,dynamic-190-24-74-175.dynamic.etb.net.co,Colombia,Bogotá,4.6017,-74.1156,AS19429 Colombia,Colombia
103.190.47.115,N/A,Indonesia,Denpasar,-8.6683,115.2209,AS9341 PT INDONESIA COMNETS PLUS,PT INDONESIA COMNETS PLUS
179.126.35.169,179-126-035-169.xd-dynamic.algarnetsuper.com.br,Brazil,Belo Horizonte,-19.9029,-43.9572,AS53006 ALGAR TELECOM SA,ALGAR TELECOM SA
93.149.143.120,net-93-149-143-120.cust.vodafonedsl.it,Italy,Naples,40.8449,14.2716,AS30722 Vodafone Italia S.p.A.,Vodafone Italia S.p.A.
42.114.184.201,N/A,Vietnam,Hanoi,21.0184,105.8461,AS18403 FPT Telecom Company,FPT Telecom Company
130.0.62.249,130-0-62-249.broadband.tenet.odessa.ua,Ukraine,Odesa,46.4752,30.7338,AS6876 TENET Scientific Production Enterprise LLC,TENET Scientific Production Enterprise LLC
206.1.224.160,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS61461 Airtek Solutions C.A.,Airtek Solutions C.A.
177.149.39.137,137.39.149.177.isp.timbrasil.com.br,Brazil,Itajaí,-26.9065,-48.6657,AS26615 TIM SA,TIM SA
88.182.232.92,88-182-232-92.subs.proxad.net,France,Chaingy,47.8852,1.7702,AS12322 Free SAS,Free SAS
69.79.101.95,69-79-101-95.libertynet.com,Jamaica,Unknown,18.1667,-77.25,AS23520 LIBERTY-NETWORKS,LIBERTY-NETWORKS
122.181.93.165,abts-kk-static-ilp-165.93.181.122.airtel.in,India,Jaipur,26.9136,75.7858,"AS24560 Bharti Airtel Ltd., Telemedia Services","Bharti Airtel Ltd., Telemedia Services"
189.226.198.84,acceso-189.226.198.84.prod-infinitum.com.mx,Mexico,Texcoco,19.5478,-98.8661,AS8151 UNINET,UNINET
103.190.47.12,N/A,Indonesia,Denpasar,-8.6683,115.2209,AS9341 PT INDONESIA COMNETS PLUS,PT INDONESIA COMNETS PLUS
88.97.207.16,N/A,United Kingdom,Liverpool,53.4516,-2.9147,AS212655 YouFibre Limited,YouFibre Limited
189.150.234.56,dsl-56-234-150-189-dynamic.prod-infinitum.com.mx,Mexico,Oaxaca City,17.1053,-96.7225,AS8151 UNINET,UNINET
189.163.3.103,dsl-103-3-163-189-dynamic.prod-infinitum.com.mx,Mexico,Zapopan,20.791,-103.4898,AS8151 UNINET,UNINET
223.181.25.204,N/A,India,Chandigarh,30.7339,76.7889,"AS24560 Bharti Airtel Ltd., Telemedia Services","Bharti Airtel Ltd., Telemedia Services"
113.19.143.163,113.19.143.163.convergeict.com,Philippines,Manila,14.6019,120.9896,AS17639 Converge ICT Solutions Inc.,Converge ICT Solutions Inc.
91.231.41.213,N/A,Ukraine,Sambir,49.5206,23.1993,AS198820 Limited Liability Company Radio Network,Limited Liability Company Radio Network
157.49.140.159,N/A,India,Sirsa,29.5386,75.0272,AS55836 Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited
148.227.173.131,131-173-227-148.telecom-3000.com,Ecuador,Quito,-0.2309,-78.5211,Unknown,Unknown
186.73.165.220,N/A,Panama,Panama City,8.9948,-79.523,AS11556 Cable & Wireless Panama,Cable & Wireless Panama
154.216.227.174,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS61461 Airtek Solutions C.A.,Airtek Solutions C.A.
202.51.217.222,N/A,Indonesia,Unknown,-6.175,106.8286,AS55685 PT Jala Lintas Media,PT Jala Lintas Media
186.17.110.157,pool-157-110-17-186.telecel.com.py,Paraguay,Areguá,-25.3125,-57.3847,AS23201 Telecel S.A.,Telecel S.A.
196.39.254.48,196-39-254-48.ftth.web.africa,South Africa,Johannesburg,-26.2309,28.0583,AS20011 NTT-DATA-Inc,NTT-DATA-Inc
187.63.171.59,59.171.63.187.bitcom.com.br,Brazil,Caxias do Sul,-29.0673,-50.9614,AS28169 BITCOM PROVEDOR DE SERVICOS DE INTERNET LTDA,BITCOM PROVEDOR DE SERVICOS DE INTERNET LTDA
200.59.188.141,141.188.59.200.static.totalcom.tel,Venezuela,Unknown,8.0,-66.0,AS264778 TotalCom Venezuela C.A.,TotalCom Venezuela C.A.
181.127.245.196,pool-196-245-127-181.telecel.com.py,Paraguay,Asunción,-25.2869,-57.6511,AS23201 Telecel S.A.,Telecel S.A.
112.200.127.220,112.200.127.220.pldt.net,Philippines,Caloocan City,14.647,120.9572,AS9299 Philippine Long Distance Telephone Company,Philippine Long Distance Telephone Company
160.250.44.134,N/A,Philippines,Davao City,7.0712,125.6089,AS140975 Comsat Cable Supplies and Services,Comsat Cable Supplies and Services
186.48.159.142,r186-48-159-142.dialup.adsl.anteldata.net.uy,Uruguay,Montevideo,-34.8511,-56.2167,AS6057 Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones
181.127.220.187,pool-187-220-127-181.telecel.com.py,Paraguay,Asunción,-25.2869,-57.6511,AS23201 Telecel S.A.,Telecel S.A.
186.148.197.3,N/A,Peru,Tacna,-18.0052,-70.2489,AS270023 TELECOM BOLIVIA S.A.C,TELECOM BOLIVIA S.A.C
160.30.69.111,160-30-69-111.dnsfibersolution.com,Philippines,Makati City,14.5562,121.0298,AS153191 DNS NETWORK AND DATA SOLUTION,DNS NETWORK AND DATA SOLUTION
122.172.201.8,abts-kk-dynamic-008.201.172.122.airtelbroadband.in,India,Unknown,21.9974,79.0011,Unknown,Unknown
38.156.89.13,internet-fibra-dedicado-89.13.www.openconnectionrd.com,Dominican Republic,Esperanza,19.5758,-70.9811,"AS272943 OPENCONNECTION FERNANDEZ, S.R.L","OPENCONNECTION FERNANDEZ, S.R.L"
180.191.235.21,N/A,Philippines,General Trias,14.4309,120.9025,AS4775 Globe Telecoms,Globe Telecoms
168.205.70.172,N/A,Brazil,São Vicente,-23.9613,-46.391,AS265354 Microchip.Net Fibra Optica,Microchip.Net Fibra Optica
38.25.157.148,N/A,Venezuela,Maracaibo,10.6423,-71.6109,AS61461 Airtek Solutions C.A.,Airtek Solutions C.A.
179.84.54.11,179.84.54.11.dynamic.adsl.gvt.net.br,Brazil,Rio das Ostras,-22.4549,-41.9531,AS26599 TELEFONICA BRASIL S.A,TELEFONICA BRASIL S.A
192.166.133.157,N/A,Ukraine,Zmiyiv,49.6763,36.344,AS56526 PC Media Zmijov,PC Media Zmijov
38.252.185.9,N/A,Venezuela,Maracaibo,10.6423,-71.6109,"AS271951 4 EVER PLUG,C.A.","4 EVER PLUG,C.A."
167.57.84.184,r167-57-84-184.dialup.adsl.anteldata.net.uy,Uruguay,Montevideo,-34.8897,-56.1862,AS6057 Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones
181.233.91.160,N/A,Venezuela,Cabimas,10.3991,-71.4521,AS271907 COLNETWORK C.A.,COLNETWORK C.A.
179.214.119.67,b3d67743.virtua.com.br,Brazil,Valparaíso de Goiás,-16.0637,-47.9775,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
103.206.51.84,N/A,India,Unknown,21.9974,79.0011,AS137085 ANO Broadband Service Pvt Ltd,ANO Broadband Service Pvt Ltd
170.81.152.198,170-81-152-198.worldnetbrasil.com.br,Brazil,Santo André,-23.6266,-46.5638,AS266428 R L A World Net LTDA,R L A World Net LTDA
191.42.116.246,N/A,Brazil,Nova Iguaçu,-22.7539,-43.4519,AS26615 TIM SA,TIM SA
37.212.26.173,mm-173-26-212-37.vitebsk.dynamic.pppoe.byfly.by,Belarus,Vitebsk,55.191,30.1984,AS6697 Republican Unitary Telecommunication Enterprise Beltelecom,Republican Unitary Telecommunication Enterprise Beltelecom
185.237.216.230,185.237.216.230.eurolink.ua,Ukraine,Ukrainka,50.1411,30.7451,AS212994 Iot Syndesi I.k.e.,Iot Syndesi I.k.e.
14.191.79.137,static.vnpt.vn,Vietnam,Ho Chi Minh City,10.822,106.6257,AS45899 VNPT Corp,VNPT Corp
120.29.69.250,250.69.29.120-rev.convergeict.com,Philippines,Clark,15.0667,120.6432,AS17639 Converge ICT Solutions Inc.,Converge ICT Solutions Inc.
186.49.94.32,r186-49-94-32.dialup.adsl.anteldata.net.uy,Uruguay,Montevideo,-34.9087,-56.1539,AS6057 Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones
154.200.239.215,N/A,Venezuela,Unknown,8.0,-66.0,"AS273155 DATANET VZLA 2021, C.A","DATANET VZLA 2021, C.A"
148.222.129.245,customer.splobra1.isp.starlink.com,Paraguay,Asunción,-25.2869,-57.6511,AS14593 SPACEX-STARLINK,SPACEX-STARLINK
190.140.82.122,N/A,Panama,Panama City,8.9948,-79.523,AS18809 Cable Onda,Cable Onda
189.234.50.211,acceso-189.234.50.211.prod-infinitum.com.mx,Mexico,Ciudad Nezahualcoyotl,19.4372,-99.0369,AS8151 UNINET,UNINET
186.0.249.66,ip-66-249-0-186.static.silicanetworks.com,Argentina,Esperanza,-31.4491,-60.9301,AS7049 Silica Networks Argentina S.A.,Silica Networks Argentina S.A.
167.62.195.231,r167-62-195-231.dialup.adsl.anteldata.net.uy,Uruguay,Montevideo,-34.8516,-56.1932,AS6057 Administracion Nacional de Telecomunicaciones,Administracion Nacional de Telecomunicaciones
181.120.236.42,pool-42-236-120-181.telecel.com.py,Paraguay,Asunción,-25.2642,-57.5878,AS23201 Telecel S.A.,Telecel S.A.
179.238.45.204,customer.bnssarg1.isp.starlink.com,United States,Unknown,37.751,-97.822,Unknown,Unknown
89.207.79.46,N/A,Russia,Unknown,55.7386,37.6068,AS41123 Gorodskie Telekommunikatsionnye Sistemy LLC,Gorodskie Telekommunikatsionnye Sistemy LLC
122.53.49.148,122.53.49.148.static.pldt.net,Philippines,Panglao,9.5751,123.7435,AS9299 Philippine Long Distance Telephone Company,Philippine Long Distance Telephone Company
45.164.238.228,default.htvtelecom.com,Mexico,Rioverde,21.959,-100.0013,AS265559 Jose Homero Trevino Villasenor,Jose Homero Trevino Villasenor
45.185.17.21,N/A,United States,Hialeah,25.9092,-80.3927,Unknown,Unknown
176.28.132.237,N/A,Jordan,Amman,31.9555,35.9435,AS48832 Jordanian mobile phone services Ltd,Jordanian mobile phone services Ltd
70.54.104.68,bras-base-lgston2802w-grc-07-70-54-104-68.dsl.bell.ca,Canada,Long Sault,45.0254,-74.892,AS577 BACOM,BACOM
187.223.202.85,dsl-85-202-223-187-dynamic.prod-infinitum.com.mx,Mexico,San José del Cabo,23.1001,-109.7173,AS8151 UNINET,UNINET
62.122.69.244,nat69-244.bcm.net.ua,Ukraine,Bila Tserkva,49.8029,30.1236,AS42504 SPD Bilopol Roman Leonidovich,SPD Bilopol Roman Leonidovich
186.204.17.122,bacc117a.virtua.com.br,Brazil,São Paulo,-23.5475,-46.6361,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
45.7.155.115,N/A,Brazil,São Paulo,-23.6293,-46.6351,AS266593 JASGAB TELECOM,JASGAB TELECOM
190.110.105.227,ip-227-190-110-105.static.silicanetworks.com.105.110.190.in-addr.arpa,Chile,Unknown,-33.439,-70.6432,Unknown,Unknown
45.125.5.19,N/A,Myanmar,Unknown,21.0,96.0,"AS133384 Global Technology Co., Ltd.","Global Technology Co., Ltd."
116.98.255.47,dynamic-adsl.viettel.vn,Vietnam,Thái Nguyên,21.5941,105.8432,AS7552 Viettel Group,Viettel Group
191.112.17.238,191-112-17-238.baf.movistar.cl,Chile,Quinta Normal,-33.4406,-70.6659,AS7418 TELEFONICA CHILE S.A.,TELEFONICA CHILE S.A.
38.225.57.229,N/A,United States,Washington,38.894,-77.0365,AS174 COGENT-174,COGENT-174
24.125.98.119,c-24-125-98-119.hsd1.ga.comcast.net,United States,Cumming,34.2037,-84.1031,AS7922 COMCAST-7922,COMCAST-7922
184.22.71.154,184-22-71-0.24.myaisfibre.com,Thailand,Bangkok,13.6687,100.579,AS133481 AIS Fibre,AIS Fibre
189.130.82.38,dsl-38-82-130-189-dynamic.prod-infinitum.com.mx,Mexico,Venustiano Carranza,19.4109,-99.1088,AS8151 UNINET,UNINET
193.106.56.69,N/A,Ukraine,Kyiv,50.458,30.5303,AS42510 FOP Makurin Stanislav Volodimirovich,FOP Makurin Stanislav Volodimirovich
177.232.86.170,host-177-232-86-170.static.metrored.net.mx,Mexico,Querétaro City,20.6337,-100.4534,"AS28536 Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
177.35.4.32,b1230420.virtua.com.br,Brazil,Gaspar,-26.9219,-48.9796,AS28573 Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda
190.58.120.249,cuscon61911.tstt.net.tt,Trinidad and Tobago,Port of Spain,10.6698,-61.5142,AS5639 Telecommunication Services of Trinidad and Tobago,Telecommunication Services of Trinidad and Tobago
82.86.105.150,N/A,Venezuela,San Cristóbal,7.768,-72.244,AS271791 CABLE NORTE CA.,CABLE NORTE CA.
146.120.231.237,N/A,Kyrgyzstan,Bishkek,42.8696,74.5932,AS42581 Inform Communications Ltd.,Inform Communications Ltd.
38.137.235.43,N/A,Venezuela,Caracas,10.4873,-66.8738,"AS263767 CORPORACION GALA IT, C.A.","CORPORACION GALA IT, C.A."
